detector_id,location_name,detector_direction,created_date,modified_date,location_latitude,location_longitude,detector_type,detector_status,detector_movement,signal_id,atd_location_id
2060,FM 620 RD / BOULDER LN (South),Westbound,2017-06-26T00:00:00Z,2025-04-15T18:52:00Z,30.428783,-97.842659,Loop,Ok,THRU / RIGHT TURN,888,LOC16-004375
1730,5TH ST / PRESSLER ST,Northbound,2017-06-28T00:00:00Z,2025-02-13T22:30:00Z,30.272729,-97.760832,Loop,Ok,THRU / RIGHT TURN,958,LOC16-004680
1076,WILLIAM CANNON DR / BRUSH COUNTRY RD,Westbound,,2025-10-27T19:12:00Z,30.223387,-97.841698,Loop,Broken,THRU / RIGHT TURN,434,LOC16-002130
1566,US 290 HWY SVRD / PARMER LN,Eastbound,2017-06-28T00:00:00Z,2022-12-29T12:26:00Z,30.344859,-97.581018,Loop,Removed,LEFT TURN,993,LOC16-004855
2029,BRODIE LN / 290 HWY SVRD,Southbound,2017-06-26T00:00:00Z,2023-12-17T17:30:00Z,30.233582,-97.818329,Loop,Ok,LEFT TURN,892,LOC16-004395
383,WEST GATE BLVD / WILLIAM CANNON DR,Eastbound,,2025-10-27T19:02:00Z,30.207201,-97.815392,Loop,Ok,THRU / RIGHT TURN,418,LOC16-002050
1155,LAKE AUSTIN BLVD / VETERANS DR,Southbound,,2025-04-24T22:36:00Z,30.277687,-97.771866,Video,Ok - Minor Issue,"LEFT TURN, THRU / RIGHT TURN",748,LOC16-003685
2439,6511 BLK MC NEIL DR (Oak Knoll Dr/Research Park (Formerly TX Instruments)),Eastbound,2017-06-23T00:00:00Z,2025-03-13T22:37:00Z,30.439367,-97.754227,Loop,Removed,SETBACK,845,LOC16-004160
19,1ST ST / BEN WHITE BLVD SVRD,Eastbound,,2020-06-28T17:32:00Z,30.226185,-97.769669,Loop,Removed,LEFT TURN,544,LOC16-002665
3303,RESEARCH BLVD SVRD / ANDERSON SQ,Northbound,2017-06-23T00:00:00Z,2023-12-16T20:33:00Z,30.353102,-97.714195,Loop,Ok,LEFT TURN,695,LOC16-003425
310,BRAKER LN / DOMAIN DR (Pickle Research Campus Driveway),Westbound,,2023-12-12T19:48:00Z,30.392347,-97.725624,Loop,Ok,LEFT TURN,466,LOC16-002285
1644,AIRPORT BLVD / ZACH SCOTT ST,Southbound,2017-06-28T00:00:00Z,2020-06-10T19:59:00Z,30.294119,-97.707878,Loop,Removed,LEFT TURN,979,LOC16-004785
1768,DESSAU RD / CRYSTAL BEND DR,Southbound,2017-06-28T00:00:00Z,2025-04-23T19:24:00Z,30.407036,-97.636017,Loop,Ok,THRU ONLY,949,LOC16-004635
276,MARTIN LUTHER KING JR BLVD / NUECES ST,Southbound,,2024-08-14T16:56:00Z,30.282238,-97.743744,Video,Ok,LEFT TURN,21,LOC16-000100
2017,OLTORF ST / WICKERSHAM LN,Eastbound,2017-06-26T00:00:00Z,2025-10-09T12:04:00Z,30.225657,-97.724297,Video,Broken,"LEFT TURN, THRU / RIGHT TURN",894,LOC16-004405
1456,ANDERSON MILL RD / CASHELL WOOD DR,Westbound,2017-06-28T00:00:00Z,2024-06-28T20:13:00Z,30.462967,-97.843323,Loop,Removed,LEFT TURN,1017,LOC16-004975
1747,5TH ST / WALSH ST,Northbound,2017-06-28T00:00:00Z,2025-02-06T19:48:00Z,30.271654,-97.758171,Video,Ok,THRU / RIGHT TURN,954,LOC16-004660
